unix_timestamp,adversity,suggestion_preference,suggestion_relevance,event_type,suggestion_text,suggestion_rating
1755525478388,,,,suggestion_shown,"t",
1755525486544,,,,accept_clicked,"t","3  About the same"
1755525498391,,,,suggestion_shown,"t",
1755525505731,,,,accept_clicked,"t","3  About the same"
1755525520817,3,,3,submit,,
1755525538416,,,,suggestion_shown,"i",
1755525551009,,,,accept_clicked,"i","4  Slightly more frequent"
1755525558420,,,,suggestion_shown,"za",
1755525564822,,,,accept_clicked,"za","4  Slightly more frequent"
1755525585833,3,,3,submit,,
1755525598427,,,,suggestion_shown,"il",
1755525603936,,,,accept_clicked,"il","4  Slightly more frequent"
1755525618443,,,,suggestion_shown,"ew",
1755525625689,,,,accept_clicked,"ew","5  Moderately more frequent"
1755525640695,3,,3,submit,,
1755525658465,,,,suggestion_shown,"Pod",
1755525664067,,,,accept_clicked,"Pod","5  Moderately more frequent"
1755525678469,,,,suggestion_shown,"ycę",
1755525684503,,,,accept_clicked,"ycę","6  Much more frequent"
1755525701241,3,,4,submit,,
1755525718485,,,,suggestion_shown,"ecz",
1755525725318,,,,accept_clicked,"ecz","6  Much more frequent"
1755525738502,,,,suggestion_shown,"zepę",
1755525746159,,,,accept_clicked,"zepę","6  Much more frequent"
1755525762085,2,,3,submit,,
1755525778521,,,,suggestion_shown,"bra,",
1755525784712,,,,accept_clicked,"bra,","6  Much more frequent"
1755525798538,,,,suggestion_shown,"cu w",
1755525805575,,,,accept_clicked,"cu w","6  Much more frequent"
1755525825440,2,,4,submit,,
1755525838552,,,,suggestion_shown,"ąci j",
1755525844672,,,,accept_clicked,"ąci j","6  Much more frequent"
1755525881148,2,,3,submit,,
1755525898583,,,,suggestion_shown,"świat",
1755525905024,,,,accept_clicked,"świat","6  Much more frequent"
1755525918592,,,,suggestion_shown,"wlekł",
1755525927012,,,,accept_clicked,"wlekł","6  Much more frequent"
1755525941888,2,,4,submit,,
1755525958610,,,,suggestion_shown,"la two",
1755525963776,,,,accept_clicked,"la two","6  Much more frequent"
1755525978625,,,,suggestion_shown,"za mną",
1755525989066,,,,accept_clicked,"za mną","6  Much more frequent"
1755526000882,3,,3,submit,,
1755526018632,,,,suggestion_shown,"m prze",
1755526026365,,,,accept_clicked,"m prze","6  Much more frequent"
1755526038642,,,,suggestion_shown,"kiem",
1755526044520,,,,accept_clicked,"kiem","6  Much more frequent"
1755526060235,3,,3,submit,,
1755526078669,,,,suggestion_shown,"królest",
1755526086062,,,,accept_clicked,"królest","6  Much more frequent"
1755526098671,,,,suggestion_shown,"eczne.",
1755526103850,,,,accept_clicked,"eczne.","6  Much more frequent"
1755526122736,2,,4,submit,,
1755526138688,,,,suggestion_shown,"zysz z r",
1755526143672,,,,accept_clicked,"zysz z r","6  Much more frequent"
1755526158696,,,,suggestion_shown,"rzykiem,",
1755526169281,,,,accept_clicked,"rzykiem,","6  Much more frequent"
1755526180423,2,,3,submit,,
1755526198727,,,,suggestion_shown,"ytne ujr",
1755526203221,,,,accept_clicked,"ytne ujr","6  Much more frequent"
1755526218737,,,,suggestion_shown,"ępieńce,",
1755526223731,,,,accept_clicked,"ępieńce,","6  Much more frequent"
1755526243674,2,,4,submit,,
1755526258759,,,,suggestion_shown,"łają w s",
1755526263725,,,,accept_clicked,"łają w s","6  Much more frequent"
